epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0567,1.89996,3.81447,1.79954,0.00199,0.58989,0.16233,0.08176,1.5453,3.44706,1.68634,0.000543844,0.000543844,0.000543844
2,44.8749,1.66772,2.6186,1.60826,0.73567,0.39971,0.47947,0.26633,1.60302,2.43159,1.66869,0.00106323,0.00106323,0.00106323
3,65.8708,1.67822,2.25782,1.64994,0.56714,0.40068,0.42585,0.23913,1.76795,2.49105,1.86013,0.00154594,0.00154594,0.00154594
4,86.7294,1.67661,1.9847,1.63881,0.61274,0.36797,0.35744,0.19677,1.82308,2.35229,1.81808,0.00150197,0.00150197,0.00150197
5,107.289,1.61969,1.78759,1.61204,0.58885,0.51106,0.54905,0.29838,1.64158,2.00014,1.72124,0.00144696,0.00144696,0.00144696
6,128.323,1.60395,1.64264,1.57907,0.64091,0.59397,0.60519,0.34285,1.60209,1.65451,1.71031,0.00139195,0.00139195,0.00139195
7,149.478,1.59544,1.51897,1.60393,0.71957,0.61407,0.65783,0.35054,1.62649,1.4771,1.70902,0.00133693,0.00133693,0.00133693
8,172.14,1.55952,1.49694,1.54927,0.73792,0.57908,0.64633,0.3635,1.60471,1.45769,1.68746,0.00128192,0.00128192,0.00128192
9,194.497,1.54845,1.42929,1.55815,0.67978,0.70453,0.74477,0.41422,1.57174,1.31042,1.70705,0.00122691,0.00122691,0.00122691
10,219.781,1.51669,1.36658,1.53682,0.67617,0.63268,0.68089,0.39089,1.56987,1.43686,1.65602,0.0011719,0.0011719,0.0011719
11,242.416,1.50232,1.31737,1.53152,0.74138,0.65499,0.73885,0.41888,1.53786,1.2928,1.67147,0.00111689,0.00111689,0.00111689
12,261.898,1.49048,1.27274,1.51135,0.73761,0.74442,0.76396,0.44639,1.46442,1.19281,1.59702,0.00106188,0.00106188,0.00106188
13,281.28,1.46944,1.20601,1.50209,0.806,0.71986,0.81347,0.46259,1.523,1.09265,1.65343,0.00100687,0.00100687,0.00100687
14,300.762,1.42422,1.18392,1.47906,0.78957,0.69768,0.77006,0.4495,1.47418,1.15344,1.58388,0.000951857,0.000951857,0.000951857
15,319.916,1.43526,1.14072,1.4649,0.79046,0.73489,0.81995,0.48377,1.44996,1.06874,1.53521,0.000896846,0.000896846,0.000896846
16,339.473,1.41814,1.12928,1.46313,0.82066,0.75636,0.83657,0.48453,1.46626,1.02353,1.57665,0.000841835,0.000841835,0.000841835
17,359.388,1.42546,1.0953,1.46454,0.81765,0.77006,0.82896,0.49614,1.44711,0.99405,1.54466,0.000786824,0.000786824,0.000786824
18,378.898,1.40033,1.06532,1.43863,0.78258,0.75461,0.83395,0.49192,1.45347,1.0334,1.54659,0.000731813,0.000731813,0.000731813
19,398.133,1.38228,1.05427,1.42693,0.84995,0.7471,0.84282,0.49182,1.44594,0.97515,1.52927,0.000676802,0.000676802,0.000676802
20,417.384,1.35372,1.01289,1.41293,0.83741,0.74798,0.84716,0.51508,1.43739,0.94819,1.54288,0.000621791,0.000621791,0.000621791
21,473.214,1.29323,0.84324,1.42737,0.83289,0.7573,0.8336,0.48169,1.47174,1.00204,1.57662,0.00056678,0.00056678,0.00056678
22,493.454,1.27169,0.80192,1.40706,0.84809,0.7971,0.86335,0.52042,1.42791,0.88963,1.53692,0.000511769,0.000511769,0.000511769
23,513.839,1.25208,0.78321,1.4108,0.79381,0.73643,0.80127,0.48032,1.44324,1.00673,1.58487,0.000456758,0.000456758,0.000456758
24,534.266,1.22358,0.75481,1.39437,0.78406,0.83763,0.86545,0.51473,1.42823,0.86697,1.56631,0.000401747,0.000401747,0.000401747
25,554.825,1.20861,0.71906,1.37738,0.86122,0.79918,0.87522,0.51919,1.43705,0.82956,1.56762,0.000346736,0.000346736,0.000346736
26,575.54,1.18574,0.68652,1.36032,0.83014,0.81664,0.87183,0.52475,1.4515,0.82649,1.58488,0.000291725,0.000291725,0.000291725
27,596.257,1.1499,0.6545,1.32607,0.88245,0.80601,0.88432,0.5476,1.4193,0.7923,1.53604,0.000236714,0.000236714,0.000236714
28,616.924,1.14676,0.63601,1.32283,0.85154,0.83359,0.8923,0.54595,1.44443,0.81809,1.56047,0.000181703,0.000181703,0.000181703
29,637.557,1.10472,0.60818,1.29186,0.86665,0.81254,0.88181,0.53657,1.43013,0.80823,1.57572,0.000126692,0.000126692,0.000126692
30,658.092,1.09962,0.58991,1.28756,0.87345,0.82795,0.89447,0.54116,1.42125,0.79118,1.5521,7.1681e-05,7.1681e-05,7.1681e-05
