epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.884,2.0649,4.39903,1.97794,0.00148,0.44429,0.13706,0.06461,1.59073,3.87664,1.787,0.00038341,0.00038341,0.00038341
2,94.7455,1.65256,3.06428,1.57303,0.57463,0.0119,0.01774,0.00617,1.8272,3.88811,2.17337,0.000767977,0.000767977,0.000767977
3,147.312,1.66625,2.5023,1.62564,0.51162,0.0811,0.2803,0.14807,1.72293,3.10488,1.95477,0.0011367,0.0011367,0.0011367
4,175.453,1.67216,2.22823,1.64207,0.0004,0.13265,0.00033,8e-05,2.83741,4.16258,3.23929,0.00148958,0.00148958,0.00148958
5,200.053,1.64841,1.96406,1.61935,0.34719,0.21455,0.1942,0.06699,2.25946,3.03893,2.11371,0.00153497,0.00153497,0.00153497
6,228.053,1.64997,1.8289,1.62492,0.3083,0.17541,0.17881,0.08282,2.01534,2.86969,2.01405,0.00150197,0.00150197,0.00150197
7,248.095,1.64619,1.71592,1.6393,0.45927,0.48689,0.41651,0.23117,1.63377,2.58743,1.82687,0.00146896,0.00146896,0.00146896
8,269.453,1.56073,1.5687,1.5747,0.63105,0.62274,0.62115,0.34552,1.5015,2.19686,1.72421,0.00143595,0.00143595,0.00143595
9,290.54,1.55021,1.46482,1.58094,0.63341,0.58591,0.59514,0.3235,1.65794,1.73607,1.83798,0.00140295,0.00140295,0.00140295
10,311.153,1.54978,1.43679,1.57011,0.58563,0.41739,0.40485,0.18677,1.95188,2.07596,1.96847,0.00136994,0.00136994,0.00136994
11,331.829,1.56726,1.41536,1.58077,0.67664,0.61863,0.6707,0.35746,1.64576,1.71875,1.7506,0.00133693,0.00133693,0.00133693
12,354.168,1.54441,1.3702,1.56031,0.65218,0.51531,0.58672,0.30526,1.67536,1.8108,1.7854,0.00130393,0.00130393,0.00130393
13,376.72,1.52445,1.33329,1.547,0.77939,0.68151,0.73815,0.4136,1.57931,1.27739,1.69854,0.00127092,0.00127092,0.00127092
14,396.672,1.50037,1.28761,1.51577,0.70033,0.61445,0.67744,0.37335,1.64687,1.31795,1.74607,0.00123791,0.00123791,0.00123791
15,416.383,1.4924,1.21297,1.51417,0.69107,0.53871,0.60939,0.35455,1.5696,1.41697,1.72505,0.00120491,0.00120491,0.00120491
16,436.432,1.46957,1.24087,1.5131,0.58368,0.57547,0.57321,0.33747,1.54356,1.53434,1.57733,0.0011719,0.0011719,0.0011719
17,456.057,1.46849,1.18557,1.48947,0.6359,0.36186,0.44625,0.24435,1.65741,2.65412,1.76173,0.00113889,0.00113889,0.00113889
18,476.19,1.4834,1.20937,1.50631,0.78278,0.71129,0.79059,0.45902,1.46272,1.04914,1.55545,0.00110589,0.00110589,0.00110589
19,495.611,1.42139,1.15209,1.45337,0.78524,0.7146,0.79734,0.46324,1.46118,1.10913,1.56963,0.00107288,0.00107288,0.00107288
20,517.481,1.4464,1.13667,1.47621,0.78534,0.69517,0.79063,0.46309,1.49697,1.05307,1.60633,0.00103987,0.00103987,0.00103987
21,537.259,1.43489,1.09423,1.45676,0.80193,0.735,0.81485,0.45224,1.54322,1.06147,1.65327,0.00100687,0.00100687,0.00100687
22,557.038,1.40506,1.09332,1.43198,0.75949,0.72029,0.78455,0.44576,1.49692,1.00075,1.57542,0.000973861,0.000973861,0.000973861
23,577.302,1.40833,1.10691,1.44752,0.8173,0.70058,0.77839,0.4574,1.48901,1.10875,1.60118,0.000940855,0.000940855,0.000940855
24,597.013,1.39124,1.06232,1.44669,0.76895,0.70118,0.77992,0.44891,1.4724,1.08346,1.57398,0.000907848,0.000907848,0.000907848
25,616.815,1.37962,1.03013,1.43186,0.76124,0.70541,0.76114,0.45581,1.44971,1.08334,1.56325,0.000874842,0.000874842,0.000874842
26,638.159,1.38667,1.0614,1.44406,0.7559,0.7423,0.79162,0.45858,1.50645,1.1214,1.62221,0.000841835,0.000841835,0.000841835
27,658.708,1.38043,1.00905,1.43673,0.75313,0.70978,0.76422,0.43913,1.50108,1.12953,1.59034,0.000808828,0.000808828,0.000808828
28,678.85,1.3661,1.0127,1.42328,0.84435,0.65255,0.75628,0.4407,1.48833,1.17811,1.57977,0.000775822,0.000775822,0.000775822
29,699.134,1.33954,0.97821,1.41359,0.83971,0.78718,0.86007,0.49338,1.47438,0.89342,1.58292,0.000742815,0.000742815,0.000742815
30,719.981,1.34445,0.98094,1.40841,0.74695,0.73814,0.76742,0.4494,1.50029,1.07355,1.5785,0.000709809,0.000709809,0.000709809
31,740.152,1.36353,1.00067,1.42142,0.77825,0.75179,0.82152,0.46967,1.43733,0.96993,1.53323,0.000676802,0.000676802,0.000676802
32,760.412,1.31804,0.91366,1.36783,0.83488,0.76843,0.85177,0.49776,1.44484,0.86599,1.54455,0.000643795,0.000643795,0.000643795
33,780.647,1.30554,0.90786,1.3745,0.82349,0.79307,0.86427,0.51299,1.41648,0.86453,1.50962,0.000610789,0.000610789,0.000610789
34,801.174,1.32008,0.91082,1.38862,0.84739,0.85132,0.88635,0.53364,1.41807,0.81736,1.52035,0.000577782,0.000577782,0.000577782
35,820.998,1.30124,0.91381,1.38128,0.8428,0.79795,0.86535,0.50223,1.45598,0.85501,1.54986,0.000544776,0.000544776,0.000544776
36,841.423,1.2753,0.87274,1.35314,0.84997,0.73238,0.81638,0.47379,1.51387,0.93145,1.58955,0.000511769,0.000511769,0.000511769
37,861.238,1.28686,0.8793,1.35587,0.87175,0.81175,0.87448,0.51703,1.44817,0.81542,1.53122,0.000478762,0.000478762,0.000478762
38,880.867,1.24987,0.84818,1.33647,0.84108,0.82577,0.86324,0.51545,1.47354,0.84481,1.58239,0.000445756,0.000445756,0.000445756
39,900.581,1.24049,0.83924,1.34212,0.80997,0.76674,0.82118,0.48741,1.50201,0.89315,1.61121,0.000412749,0.000412749,0.000412749
40,920.17,1.2361,0.82042,1.33812,0.83215,0.82884,0.88023,0.53078,1.45372,0.78799,1.54719,0.000379743,0.000379743,0.000379743
41,994.65,1.18483,0.67125,1.33708,0.78057,0.8176,0.84094,0.50525,1.44409,0.86984,1.55307,0.000346736,0.000346736,0.000346736
42,1020.38,1.1612,0.63113,1.32421,0.83849,0.83168,0.88233,0.52544,1.43906,0.81264,1.53573,0.000313729,0.000313729,0.000313729
43,1040.63,1.12313,0.60329,1.29337,0.85266,0.85127,0.88071,0.53678,1.42977,0.74755,1.57505,0.000280723,0.000280723,0.000280723
44,1059.62,1.10717,0.59302,1.27838,0.88051,0.84928,0.89823,0.53526,1.45855,0.76705,1.57674,0.000247716,0.000247716,0.000247716
45,1080.39,1.10752,0.58972,1.28252,0.87771,0.82196,0.89218,0.54218,1.42047,0.74963,1.54389,0.00021471,0.00021471,0.00021471
46,1100.88,1.08562,0.56815,1.26445,0.83955,0.83986,0.88132,0.52954,1.43572,0.77542,1.56863,0.000181703,0.000181703,0.000181703
47,1120.05,1.07448,0.54292,1.24954,0.85177,0.85275,0.89038,0.54194,1.42723,0.75445,1.55269,0.000148696,0.000148696,0.000148696
48,1139.35,1.05511,0.54358,1.25415,0.85895,0.84803,0.88786,0.53923,1.42778,0.73887,1.55143,0.00011569,0.00011569,0.00011569
49,1158.55,1.03528,0.53401,1.2298,0.8913,0.85259,0.90407,0.54294,1.44165,0.73584,1.5745,8.26832e-05,8.26832e-05,8.26832e-05
50,1177.56,1.02728,0.52287,1.22448,0.90159,0.83687,0.90459,0.54151,1.44704,0.72554,1.58012,4.96766e-05,4.96766e-05,4.96766e-05
